timestamp,source_ip,destination_ip,packet_size,malicious
2024-11-17 12:14:45.084766,192.168.1.2,192.168.1.100,360,0
2024-11-17 12:14:46.084766,172.16.0.1,10.0.0.2,809,0
2024-11-17 12:14:47.084766,192.168.1.2,172.16.0.2,371,0
2024-11-17 12:14:48.084766,172.16.0.1,10.0.0.2,1386,0
2024-11-17 12:14:49.084766,10.0.0.1,10.0.0.2,309,0
2024-11-17 12:14:50.084766,10.0.0.1,192.168.1.100,783,0
2024-11-17 12:14:51.084766,10.0.0.1,10.0.0.2,434,0
2024-11-17 12:14:52.084766,192.168.1.2,192.168.1.100,787,0
2024-11-17 12:14:53.084766,192.168.1.2,10.0.0.2,601,0
2024-11-17 12:14:54.084766,192.168.1.1,192.168.1.101,220,1
2024-11-17 12:14:55.084766,192.168.1.1,192.168.1.100,832,0
2024-11-17 12:14:56.084766,192.168.1.2,192.168.1.100,1069,0
2024-11-17 12:14:57.084766,192.168.1.1,192.168.1.100,1010,0
2024-11-17 12:14:58.084766,172.16.0.1,10.0.0.2,403,0
2024-11-17 12:14:59.084766,192.168.1.2,172.16.0.2,1462,0
2024-11-17 12:15:00.084766,172.16.0.1,192.168.1.100,1436,0
2024-11-17 12:15:01.084766,192.168.1.2,192.168.1.101,419,0
2024-11-17 12:15:02.084766,10.0.0.1,10.0.0.2,1400,0
2024-11-17 12:15:03.084766,10.0.0.1,192.168.1.100,707,0
2024-11-17 12:15:04.084766,10.0.0.1,192.168.1.101,795,0
2024-11-17 12:15:05.084766,192.168.1.2,192.168.1.100,935,0
2024-11-17 12:15:06.084766,172.16.0.1,172.16.0.2,1329,0
2024-11-17 12:15:07.084766,192.168.1.1,10.0.0.2,60,0
2024-11-17 12:15:08.084766,192.168.1.1,172.16.0.2,1434,0
2024-11-17 12:15:09.084766,10.0.0.1,172.16.0.2,1351,0
2024-11-17 12:15:10.084766,192.168.1.1,192.168.1.101,1227,1
2024-11-17 12:15:11.084766,192.168.1.1,172.16.0.2,350,0
2024-11-17 12:15:12.084766,172.16.0.1,10.0.0.2,1243,0
2024-11-17 12:15:13.084766,172.16.0.1,172.16.0.2,25,0
2024-11-17 12:15:14.084766,10.0.0.1,192.168.1.100,184,0
2024-11-17 12:15:15.084766,172.16.0.1,192.168.1.101,1412,0
2024-11-17 12:15:16.084766,172.16.0.1,192.168.1.101,799,0
2024-11-17 12:15:17.084766,192.168.1.1,192.168.1.100,307,1
2024-11-17 12:15:18.084766,192.168.1.1,172.16.0.2,159,0
2024-11-17 12:15:19.084766,192.168.1.2,172.16.0.2,540,0
2024-11-17 12:15:20.084766,192.168.1.2,172.16.0.2,885,0
2024-11-17 12:15:21.084766,192.168.1.1,192.168.1.101,858,0
2024-11-17 12:15:22.084766,192.168.1.2,192.168.1.100,304,0
