timestamp,source_ip,destination_ip,packet_size,malicious,anomaly
2024-11-17 11:26:44.311743,192.168.1.1,192.168.1.101,698,0,0
2024-11-17 11:26:45.311743,192.168.1.2,192.168.1.100,780,0,0
2024-11-17 11:26:46.311743,192.168.1.2,172.16.0.2,1456,0,0
2024-11-17 11:26:47.311743,192.168.1.1,172.16.0.2,1435,0,0
2024-11-17 11:26:48.311743,10.0.0.1,192.168.1.101,538,0,0
2024-11-17 11:26:49.311743,10.0.0.1,192.168.1.101,1380,1,0
2024-11-17 11:26:50.311743,192.168.1.2,172.16.0.2,424,0,0
2024-11-17 11:26:51.311743,10.0.0.1,10.0.0.2,1003,0,0
2024-11-17 11:26:52.311743,192.168.1.2,192.168.1.100,900,0,0
2024-11-17 11:26:53.311743,172.16.0.1,192.168.1.100,1158,0,0
2024-11-17 11:26:54.311743,10.0.0.1,172.16.0.2,643,0,0
2024-11-17 11:26:55.311743,172.16.0.1,10.0.0.2,755,1,0
2024-11-17 11:26:56.311743,10.0.0.1,192.168.1.100,679,0,0
2024-11-17 11:26:57.311743,172.16.0.1,192.168.1.101,1460,0,1
2024-11-17 11:26:58.311743,10.0.0.1,192.168.1.101,551,0,0
2024-11-17 11:26:59.311743,192.168.1.1,172.16.0.2,1344,0,0
2024-11-17 11:27:00.311743,192.168.1.2,172.16.0.2,1316,0,0
2024-11-17 11:27:01.311743,192.168.1.1,192.168.1.100,689,0,0
2024-11-17 11:27:02.311743,192.168.1.2,10.0.0.2,831,0,0
2024-11-17 11:27:03.311743,10.0.0.1,172.16.0.2,490,0,0
2024-11-17 11:27:04.311743,192.168.1.1,192.168.1.100,1206,0,0
2024-11-17 11:27:05.311743,192.168.1.1,192.168.1.100,833,0,0
2024-11-17 11:27:06.311743,192.168.1.1,172.16.0.2,1306,0,0
2024-11-17 11:27:07.311743,192.168.1.1,192.168.1.101,927,0,0
2024-11-17 11:27:08.311743,172.16.0.1,172.16.0.2,167,0,0
2024-11-17 11:27:09.311743,192.168.1.1,10.0.0.2,747,0,0
2024-11-17 11:27:10.311743,10.0.0.1,192.168.1.101,336,0,0
2024-11-17 11:27:11.311743,192.168.1.2,192.168.1.101,121,0,0
2024-11-17 11:27:12.311743,192.168.1.1,192.168.1.101,1334,0,0
2024-11-17 11:27:13.311743,172.16.0.1,192.168.1.100,966,0,0
2024-11-17 11:27:14.311743,192.168.1.1,192.168.1.101,222,0,0
2024-11-17 11:27:15.311743,10.0.0.1,172.16.0.2,1072,0,0
2024-11-17 11:27:16.311743,10.0.0.1,192.168.1.101,94,0,0
2024-11-17 11:27:17.311743,172.16.0.1,172.16.0.2,1312,0,0
2024-11-17 11:27:18.311743,172.16.0.1,10.0.0.2,364,0,0
2024-11-17 11:27:19.311743,10.0.0.1,10.0.0.2,386,0,0
2024-11-17 11:27:20.311743,172.16.0.1,192.168.1.101,34,0,1
2024-11-17 11:27:21.311743,172.16.0.1,10.0.0.2,943,0,0
2024-11-17 11:27:22.311743,192.168.1.1,10.0.0.2,670,0,0
2024-11-17 11:27:23.311743,192.168.1.1,192.168.1.101,1175,0,0
2024-11-17 11:27:24.311743,172.16.0.1,10.0.0.2,380,0,0
2024-11-17 11:27:25.311743,172.16.0.1,10.0.0.2,305,0,0
2024-11-17 11:27:26.311743,192.168.1.1,192.168.1.101,582,0,0
2024-11-17 11:27:27.311743,172.16.0.1,192.168.1.101,825,0,0
2024-11-17 11:27:28.311743,192.168.1.1,10.0.0.2,64,0,0
2024-11-17 11:27:29.311743,172.16.0.1,192.168.1.101,819,0,0
2024-11-17 11:27:30.311743,192.168.1.2,192.168.1.100,633,0,0
2024-11-17 11:27:31.311743,192.168.1.1,192.168.1.100,811,0,0
2024-11-17 11:27:32.311743,172.16.0.1,172.16.0.2,405,0,0
2024-11-17 11:27:33.311743,192.168.1.2,192.168.1.100,213,0,0
2024-11-17 11:27:34.311743,192.168.1.1,192.168.1.100,1141,0,0
2024-11-17 11:27:35.311743,192.168.1.1,192.168.1.101,437,0,0
2024-11-17 11:27:36.311743,192.168.1.2,172.16.0.2,253,0,0
2024-11-17 11:27:37.311743,192.168.1.2,10.0.0.2,242,0,0
2024-11-17 11:27:38.311743,192.168.1.1,192.168.1.101,230,0,0
2024-11-17 11:27:39.311743,10.0.0.1,192.168.1.100,1216,0,0
2024-11-17 11:27:40.311743,192.168.1.1,192.168.1.101,138,0,0
2024-11-17 11:27:41.311743,172.16.0.1,192.168.1.100,1043,0,0
2024-11-17 11:27:42.311743,172.16.0.1,192.168.1.101,312,0,0
2024-11-17 11:27:43.311743,10.0.0.1,172.16.0.2,101,0,0
2024-11-17 11:27:44.311743,172.16.0.1,10.0.0.2,391,0,0
2024-11-17 11:27:45.311743,10.0.0.1,192.168.1.100,1419,0,0
2024-11-17 11:27:46.311743,192.168.1.2,172.16.0.2,65,0,0
2024-11-17 11:27:47.311743,192.168.1.1,172.16.0.2,1462,0,1
2024-11-17 11:27:48.311743,192.168.1.1,172.16.0.2,379,0,0
2024-11-17 11:27:49.311743,10.0.0.1,10.0.0.2,355,0,0
2024-11-17 11:27:50.311743,192.168.1.1,192.168.1.101,445,0,0
2024-11-17 11:27:51.311743,172.16.0.1,172.16.0.2,57,0,0
2024-11-17 11:27:52.311743,10.0.0.1,10.0.0.2,724,0,0
2024-11-17 11:27:53.311743,192.168.1.1,192.168.1.100,252,0,0
2024-11-17 11:27:54.311743,192.168.1.2,192.168.1.101,936,0,0
2024-11-17 11:27:55.311743,192.168.1.1,172.16.0.2,1136,0,0
2024-11-17 11:27:56.311743,172.16.0.1,192.168.1.101,913,0,0
2024-11-17 11:27:57.311743,172.16.0.1,172.16.0.2,671,0,0
2024-11-17 11:27:58.311743,10.0.0.1,10.0.0.2,174,0,0
2024-11-17 11:27:59.311743,192.168.1.1,172.16.0.2,397,1,0
2024-11-17 11:28:00.311743,192.168.1.2,10.0.0.2,656,0,0
2024-11-17 11:28:01.311743,192.168.1.1,10.0.0.2,470,1,0
2024-11-17 11:28:02.311743,192.168.1.2,192.168.1.100,625,0,0
2024-11-17 11:28:03.311743,192.168.1.1,172.16.0.2,165,0,0
2024-11-17 11:28:04.311743,192.168.1.2,10.0.0.2,998,0,0
2024-11-17 11:28:05.311743,192.168.1.1,192.168.1.101,1137,0,0
2024-11-17 11:28:06.311743,172.16.0.1,192.168.1.100,492,0,0
2024-11-17 11:28:07.311743,10.0.0.1,10.0.0.2,111,0,0
2024-11-17 11:28:08.311743,192.168.1.1,192.168.1.101,1281,0,0
2024-11-17 11:28:09.311743,10.0.0.1,192.168.1.101,267,0,0
2024-11-17 11:28:10.311743,10.0.0.1,10.0.0.2,1157,0,0
2024-11-17 11:28:11.311743,172.16.0.1,192.168.1.101,139,0,0
2024-11-17 11:28:12.311743,172.16.0.1,172.16.0.2,1362,0,0
2024-11-17 11:28:13.311743,10.0.0.1,192.168.1.101,1212,0,0
2024-11-17 11:28:14.311743,192.168.1.1,192.168.1.101,407,0,0
2024-11-17 11:28:15.311743,192.168.1.1,192.168.1.100,1017,0,0
2024-11-17 11:28:16.311743,10.0.0.1,10.0.0.2,1490,0,1
2024-11-17 11:28:17.311743,10.0.0.1,192.168.1.101,416,0,0
2024-11-17 11:28:18.311743,192.168.1.2,172.16.0.2,1321,0,0
2024-11-17 11:28:19.311743,10.0.0.1,192.168.1.101,891,0,0
2024-11-17 11:28:20.311743,192.168.1.2,192.168.1.101,313,0,0
2024-11-17 11:28:21.311743,10.0.0.1,172.16.0.2,1002,0,0
2024-11-17 11:28:22.311743,192.168.1.1,172.16.0.2,453,0,0
2024-11-17 11:28:23.311743,192.168.1.1,10.0.0.2,1487,0,1
2024-11-17 11:28:24.311743,192.168.1.1,10.0.0.2,162,0,0
2024-11-17 11:28:25.311743,10.0.0.1,10.0.0.2,1415,0,0
2024-11-17 11:28:26.311743,192.168.1.2,192.168.1.100,655,0,0
2024-11-17 11:28:27.311743,10.0.0.1,192.168.1.101,556,0,0
2024-11-17 11:28:28.311743,172.16.0.1,172.16.0.2,1362,0,0
2024-11-17 11:28:29.311743,10.0.0.1,192.168.1.101,802,0,0
2024-11-17 11:28:30.311743,192.168.1.1,192.168.1.100,324,0,0
2024-11-17 11:28:31.311743,172.16.0.1,192.168.1.101,30,0,1
2024-11-17 11:28:32.311743,172.16.0.1,192.168.1.101,367,0,0
2024-11-17 11:28:33.311743,192.168.1.2,192.168.1.100,532,0,0
2024-11-17 11:28:34.311743,192.168.1.1,172.16.0.2,422,0,0
2024-11-17 11:28:35.311743,192.168.1.2,10.0.0.2,1139,1,0
2024-11-17 11:28:36.311743,172.16.0.1,172.16.0.2,973,0,0
2024-11-17 11:28:37.311743,192.168.1.1,10.0.0.2,1261,0,0
2024-11-17 11:28:38.311743,192.168.1.1,192.168.1.100,153,0,0
2024-11-17 11:28:39.311743,172.16.0.1,192.168.1.101,449,0,0
2024-11-17 11:28:40.311743,192.168.1.1,192.168.1.101,385,0,0
2024-11-17 11:28:41.311743,192.168.1.1,192.168.1.101,978,0,0
2024-11-17 11:28:42.311743,10.0.0.1,172.16.0.2,1048,0,0
2024-11-17 11:28:43.311743,10.0.0.1,172.16.0.2,1136,0,0
2024-11-17 11:28:44.311743,192.168.1.2,172.16.0.2,389,0,0
2024-11-17 11:28:45.311743,192.168.1.2,172.16.0.2,601,0,0
2024-11-17 11:28:46.311743,192.168.1.1,192.168.1.101,948,0,0
2024-11-17 11:28:47.311743,172.16.0.1,192.168.1.100,1428,0,0
2024-11-17 11:28:48.311743,192.168.1.2,10.0.0.2,1206,0,0
2024-11-17 11:28:49.311743,192.168.1.1,192.168.1.100,310,1,0
2024-11-17 11:28:50.311743,10.0.0.1,10.0.0.2,1125,0,0
2024-11-17 11:28:51.311743,10.0.0.1,10.0.0.2,531,0,0
2024-11-17 11:28:52.311743,10.0.0.1,172.16.0.2,978,0,0
2024-11-17 11:28:53.311743,172.16.0.1,192.168.1.100,1019,0,0
2024-11-17 11:28:54.311743,10.0.0.1,192.168.1.100,1267,0,0
2024-11-17 11:28:55.311743,192.168.1.2,192.168.1.100,853,0,0
2024-11-17 11:28:56.311743,192.168.1.2,10.0.0.2,35,0,1
2024-11-17 11:28:57.311743,10.0.0.1,10.0.0.2,278,0,0
2024-11-17 11:28:58.311743,10.0.0.1,192.168.1.101,343,1,0
2024-11-17 11:28:59.311743,192.168.1.2,192.168.1.100,1310,0,0
2024-11-17 11:29:00.311743,192.168.1.1,192.168.1.101,1424,0,0
2024-11-17 11:29:01.311743,192.168.1.2,172.16.0.2,1126,0,0
2024-11-17 11:29:02.311743,10.0.0.1,192.168.1.101,650,0,0
2024-11-17 11:29:03.311743,192.168.1.2,172.16.0.2,498,0,0
2024-11-17 11:29:04.311743,172.16.0.1,192.168.1.100,1380,0,0
2024-11-17 11:29:05.311743,10.0.0.1,10.0.0.2,190,0,0
2024-11-17 11:29:06.311743,172.16.0.1,10.0.0.2,692,0,0
2024-11-17 11:29:07.311743,192.168.1.1,192.168.1.100,283,0,0
2024-11-17 11:29:08.311743,192.168.1.2,10.0.0.2,962,0,0
2024-11-17 11:29:09.311743,192.168.1.2,10.0.0.2,96,0,0
2024-11-17 11:29:10.311743,192.168.1.1,192.168.1.101,82,0,0
2024-11-17 11:29:11.311743,172.16.0.1,10.0.0.2,576,0,0
2024-11-17 11:29:12.311743,192.168.1.1,172.16.0.2,325,0,0
2024-11-17 11:29:13.311743,192.168.1.1,192.168.1.100,1146,0,0
2024-11-17 11:29:14.311743,192.168.1.2,192.168.1.100,286,0,0
2024-11-17 11:29:15.311743,172.16.0.1,192.168.1.101,702,0,0
2024-11-17 11:29:16.311743,192.168.1.2,172.16.0.2,1293,0,0
2024-11-17 11:29:17.311743,10.0.0.1,192.168.1.101,1277,0,0
2024-11-17 11:29:18.311743,192.168.1.1,10.0.0.2,1301,0,0
2024-11-17 11:29:19.311743,192.168.1.2,192.168.1.100,579,0,0
2024-11-17 11:29:20.311743,10.0.0.1,192.168.1.101,831,0,0
2024-11-17 11:29:21.311743,192.168.1.2,192.168.1.100,380,0,0
2024-11-17 11:29:22.311743,192.168.1.1,192.168.1.101,995,0,0
2024-11-17 11:29:23.311743,172.16.0.1,192.168.1.101,237,0,0
2024-11-17 11:29:24.311743,10.0.0.1,172.16.0.2,179,0,0
2024-11-17 11:29:25.311743,10.0.0.1,172.16.0.2,1322,0,0
2024-11-17 11:29:26.311743,10.0.0.1,10.0.0.2,1463,0,1
2024-11-17 11:29:27.311743,172.16.0.1,192.168.1.101,1389,0,0
2024-11-17 11:29:28.311743,172.16.0.1,10.0.0.2,1333,0,0
2024-11-17 11:29:29.311743,192.168.1.1,172.16.0.2,1284,0,0
2024-11-17 11:29:30.311743,192.168.1.1,192.168.1.101,192,0,0
2024-11-17 11:29:31.311743,192.168.1.1,192.168.1.101,1185,0,0
2024-11-17 11:29:32.311743,192.168.1.2,172.16.0.2,468,0,0
2024-11-17 11:29:33.311743,172.16.0.1,192.168.1.101,1357,0,0
2024-11-17 11:29:34.311743,192.168.1.2,172.16.0.2,995,0,0
2024-11-17 11:29:35.311743,192.168.1.2,192.168.1.101,1180,0,0
2024-11-17 11:29:36.311743,192.168.1.1,172.16.0.2,642,0,0
2024-11-17 11:29:37.311743,192.168.1.1,192.168.1.100,1278,0,0
2024-11-17 11:29:38.311743,10.0.0.1,10.0.0.2,467,0,0
2024-11-17 11:29:39.311743,172.16.0.1,172.16.0.2,869,0,0
2024-11-17 11:29:40.311743,10.0.0.1,172.16.0.2,689,0,0
2024-11-17 11:29:41.311743,10.0.0.1,192.168.1.100,1179,0,0
2024-11-17 11:29:42.311743,192.168.1.2,10.0.0.2,76,0,0
2024-11-17 11:29:43.311743,192.168.1.1,172.16.0.2,536,0,0
2024-11-17 11:29:44.311743,10.0.0.1,192.168.1.101,414,0,0
2024-11-17 11:29:45.311743,172.16.0.1,172.16.0.2,207,1,0
2024-11-17 11:29:46.311743,10.0.0.1,172.16.0.2,1458,0,0
2024-11-17 11:29:47.311743,192.168.1.2,192.168.1.100,209,0,0
2024-11-17 11:29:48.311743,192.168.1.1,192.168.1.100,927,0,0
2024-11-17 11:29:49.311743,192.168.1.1,192.168.1.100,1371,0,0
2024-11-17 11:29:50.311743,172.16.0.1,192.168.1.100,1369,0,0
2024-11-17 11:29:51.311743,10.0.0.1,172.16.0.2,358,0,0
2024-11-17 11:29:52.311743,172.16.0.1,10.0.0.2,747,0,0
2024-11-17 11:29:53.311743,172.16.0.1,10.0.0.2,79,0,0
2024-11-17 11:29:54.311743,172.16.0.1,192.168.1.100,1127,0,0
2024-11-17 11:29:55.311743,192.168.1.1,192.168.1.101,450,0,0
2024-11-17 11:29:56.311743,192.168.1.2,192.168.1.101,1483,0,1
2024-11-17 11:29:57.311743,10.0.0.1,192.168.1.100,1368,0,0
2024-11-17 11:29:58.311743,172.16.0.1,192.168.1.101,559,0,0
2024-11-17 11:29:59.311743,192.168.1.2,192.168.1.100,1480,0,1
2024-11-17 11:30:00.311743,192.168.1.1,10.0.0.2,50,0,1
2024-11-17 11:30:01.311743,10.0.0.1,192.168.1.100,1156,0,0
2024-11-17 11:30:02.311743,192.168.1.2,192.168.1.100,1128,0,0
2024-11-17 11:30:03.311743,192.168.1.1,10.0.0.2,160,0,0
2024-11-17 11:30:04.311743,192.168.1.2,10.0.0.2,1414,0,0
2024-11-17 11:30:05.311743,192.168.1.1,192.168.1.101,873,0,0
2024-11-17 11:30:06.311743,192.168.1.1,192.168.1.101,1373,0,0
2024-11-17 11:30:07.311743,192.168.1.1,192.168.1.100,927,0,0
2024-11-17 11:30:08.311743,192.168.1.2,192.168.1.100,236,0,0
2024-11-17 11:30:09.311743,192.168.1.2,192.168.1.101,275,0,0
2024-11-17 11:30:10.311743,192.168.1.1,172.16.0.2,201,0,0
2024-11-17 11:30:11.311743,192.168.1.1,192.168.1.101,554,0,0
2024-11-17 11:30:12.311743,192.168.1.1,192.168.1.100,497,0,0
2024-11-17 11:30:13.311743,10.0.0.1,192.168.1.101,535,0,0
2024-11-17 11:30:14.311743,172.16.0.1,192.168.1.100,1211,0,0
2024-11-17 11:30:15.311743,192.168.1.2,172.16.0.2,1037,0,0
2024-11-17 11:30:16.311743,192.168.1.1,10.0.0.2,287,0,0
2024-11-17 11:30:17.311743,192.168.1.1,172.16.0.2,848,0,0
2024-11-17 11:30:18.311743,192.168.1.1,10.0.0.2,690,0,0
2024-11-17 11:30:19.311743,192.168.1.1,192.168.1.100,525,0,0
2024-11-17 11:30:20.311743,10.0.0.1,192.168.1.101,805,0,0
2024-11-17 11:30:21.311743,192.168.1.1,192.168.1.101,403,0,0
2024-11-17 11:30:22.311743,10.0.0.1,172.16.0.2,804,0,0
2024-11-17 11:30:23.311743,192.168.1.2,192.168.1.100,1496,0,1
2024-11-17 11:30:24.311743,172.16.0.1,192.168.1.101,1172,0,0
2024-11-17 11:30:25.311743,172.16.0.1,10.0.0.2,859,0,0
2024-11-17 11:30:26.311743,172.16.0.1,172.16.0.2,1276,0,0
2024-11-17 11:30:27.311743,172.16.0.1,10.0.0.2,905,0,0
2024-11-17 11:30:28.311743,192.168.1.1,172.16.0.2,960,0,0
2024-11-17 11:30:29.311743,10.0.0.1,192.168.1.100,22,0,1
2024-11-17 11:30:30.311743,10.0.0.1,192.168.1.101,1224,0,0
2024-11-17 11:30:31.311743,192.168.1.2,192.168.1.101,667,0,0
2024-11-17 11:30:32.311743,10.0.0.1,192.168.1.100,519,0,0
2024-11-17 11:30:33.311743,192.168.1.1,192.168.1.100,595,0,0
2024-11-17 11:30:34.311743,192.168.1.2,192.168.1.101,931,0,0
2024-11-17 11:30:35.311743,192.168.1.1,172.16.0.2,543,0,0
2024-11-17 11:30:36.311743,172.16.0.1,192.168.1.100,660,0,0
2024-11-17 11:30:37.311743,172.16.0.1,172.16.0.2,1124,1,0
2024-11-17 11:30:38.311743,10.0.0.1,192.168.1.101,55,0,0
2024-11-17 11:30:39.311743,192.168.1.2,10.0.0.2,1248,0,0
2024-11-17 11:30:40.311743,192.168.1.1,192.168.1.100,957,0,0
2024-11-17 11:30:41.311743,10.0.0.1,172.16.0.2,1249,0,0
2024-11-17 11:30:42.311743,192.168.1.2,192.168.1.101,848,0,0
2024-11-17 11:30:43.311743,192.168.1.1,10.0.0.2,75,0,0
2024-11-17 11:30:44.311743,10.0.0.1,10.0.0.2,43,0,1
2024-11-17 11:30:45.311743,172.16.0.1,192.168.1.100,354,0,0
2024-11-17 11:30:46.311743,10.0.0.1,172.16.0.2,21,0,1
2024-11-17 11:30:47.311743,192.168.1.1,192.168.1.100,417,0,0
2024-11-17 11:30:48.311743,192.168.1.1,10.0.0.2,175,0,0
2024-11-17 11:30:49.311743,192.168.1.1,10.0.0.2,92,0,0
2024-11-17 11:30:50.311743,172.16.0.1,192.168.1.100,439,0,0
2024-11-17 11:30:51.311743,10.0.0.1,192.168.1.100,568,0,0
2024-11-17 11:30:52.311743,192.168.1.2,172.16.0.2,1120,0,0
2024-11-17 11:30:53.311743,192.168.1.2,192.168.1.101,810,0,0
2024-11-17 11:30:54.311743,192.168.1.1,172.16.0.2,1462,0,1
2024-11-17 11:30:55.311743,10.0.0.1,192.168.1.101,1070,0,0
2024-11-17 11:30:56.311743,192.168.1.1,10.0.0.2,683,0,0
2024-11-17 11:30:57.311743,172.16.0.1,10.0.0.2,898,0,0
2024-11-17 11:30:58.311743,172.16.0.1,192.168.1.100,1480,0,1
2024-11-17 11:30:59.311743,192.168.1.2,172.16.0.2,396,0,0
2024-11-17 11:31:00.311743,192.168.1.2,192.168.1.101,692,0,0
2024-11-17 11:31:01.311743,172.16.0.1,172.16.0.2,694,0,0
2024-11-17 11:31:02.311743,10.0.0.1,10.0.0.2,1445,0,0
2024-11-17 11:31:03.311743,192.168.1.1,10.0.0.2,727,0,0
2024-11-17 11:31:04.311743,172.16.0.1,172.16.0.2,190,0,0
2024-11-17 11:31:05.311743,10.0.0.1,10.0.0.2,1187,0,0
2024-11-17 11:31:06.311743,10.0.0.1,192.168.1.100,731,0,0
2024-11-17 11:31:07.311743,172.16.0.1,172.16.0.2,59,0,0
2024-11-17 11:31:08.311743,10.0.0.1,172.16.0.2,372,0,0
2024-11-17 11:31:09.311743,192.168.1.1,192.168.1.101,1051,0,0
2024-11-17 11:31:10.311743,192.168.1.2,192.168.1.100,106,0,0
2024-11-17 11:31:11.311743,192.168.1.2,192.168.1.101,1157,0,0
2024-11-17 11:31:12.311743,192.168.1.1,10.0.0.2,755,0,0
2024-11-17 11:31:13.311743,172.16.0.1,192.168.1.101,573,0,0
2024-11-17 11:31:14.311743,10.0.0.1,172.16.0.2,1222,0,0
2024-11-17 11:31:15.311743,192.168.1.2,192.168.1.101,56,0,0
2024-11-17 11:31:16.311743,10.0.0.1,10.0.0.2,610,0,0
2024-11-17 11:31:17.311743,192.168.1.1,10.0.0.2,1111,0,0
2024-11-17 11:31:18.311743,192.168.1.1,172.16.0.2,287,1,0
2024-11-17 11:31:19.311743,192.168.1.1,172.16.0.2,1043,0,0
2024-11-17 11:31:20.311743,172.16.0.1,192.168.1.101,1183,1,0
2024-11-17 11:31:21.311743,10.0.0.1,192.168.1.100,1241,0,0
2024-11-17 11:31:22.311743,10.0.0.1,192.168.1.101,205,1,0
2024-11-17 11:31:23.311743,10.0.0.1,192.168.1.100,104,0,0
2024-11-17 11:31:24.311743,172.16.0.1,192.168.1.100,188,0,0
2024-11-17 11:31:25.311743,192.168.1.2,192.168.1.101,1190,0,0
2024-11-17 11:31:26.311743,192.168.1.1,172.16.0.2,1222,0,0
2024-11-17 11:31:27.311743,192.168.1.1,172.16.0.2,347,0,0
2024-11-17 11:31:28.311743,192.168.1.1,172.16.0.2,174,0,0
2024-11-17 11:31:29.311743,172.16.0.1,172.16.0.2,1407,0,0
2024-11-17 11:31:30.311743,192.168.1.1,192.168.1.100,884,0,0
2024-11-17 11:31:31.311743,192.168.1.2,172.16.0.2,759,0,0
2024-11-17 11:31:32.311743,192.168.1.2,192.168.1.100,1344,0,0
2024-11-17 11:31:33.311743,192.168.1.1,10.0.0.2,1401,0,0
2024-11-17 11:31:34.311743,192.168.1.2,192.168.1.101,1224,0,0
2024-11-17 11:31:35.311743,192.168.1.2,192.168.1.100,84,0,0
2024-11-17 11:31:36.311743,10.0.0.1,10.0.0.2,530,0,0
2024-11-17 11:31:37.311743,172.16.0.1,10.0.0.2,1383,0,0
2024-11-17 11:31:38.311743,172.16.0.1,10.0.0.2,1130,0,0
2024-11-17 11:31:39.311743,172.16.0.1,192.168.1.100,191,0,0
2024-11-17 11:31:40.311743,192.168.1.2,192.168.1.100,33,0,1
2024-11-17 11:31:41.311743,10.0.0.1,192.168.1.101,1436,0,0
2024-11-17 11:31:42.311743,10.0.0.1,192.168.1.100,237,0,0
2024-11-17 11:31:43.311743,172.16.0.1,172.16.0.2,371,0,0
2024-11-17 11:31:44.311743,10.0.0.1,172.16.0.2,275,0,0
2024-11-17 11:31:45.311743,10.0.0.1,192.168.1.100,220,0,0
2024-11-17 11:31:46.311743,192.168.1.2,172.16.0.2,1135,0,0
2024-11-17 11:31:47.311743,172.16.0.1,192.168.1.101,662,0,0
2024-11-17 11:31:48.311743,192.168.1.1,10.0.0.2,177,0,0
